Tiempo;Intensidad;Incertidumbre;Temperatura
0;219.8;19.599;37.01
1.5;223.3;13.116;37.01
3;230.7;27.866;37.01
4.5;202.6;13.546;37.01
6;12976;653.01;37.01
7.5;51382.3;1553.5;37.01
9;44262.9;328.54;37.01
10.5;42778.6;219.73;37.01
12;42227.1;242.4;37.01
13.5;42248.2;169.23;37.01
15;41635.8;199.97;37.01
16.5;41839.7;169.73;37.01
18;41603.2;255.49;37.0066
19.5;41372.3;208.08;37.0066
21;40804.2;143.68;37.0066
22.5;40775.8;293.44;37.0066
24;41016.5;212.65;37.0066
25.5;40667.6;231.47;37.01
27;40466.5;157.85;37.01
28.5;40363.2;202.94;37.01
30;40451.5;222.66;37.0066
31.5;40543.6;182.62;37.0066
33;40411.6;208.15;37.0066
34.5;40163.2;158.46;37.0066
36;40135.8;235.72;37.0066
37.5;39928.2;228.88;37.0066
39;39683.7;244.79;37.0066
40.5;39655.2;334.31;37.0066
42;39463.9;209.73;37.0066
43.5;39688.9;233.39;37.0066
45;47447.6;2494.5;37.0066
46.5;102683.3;824.81;37.0066
48;107819.3;227.9;37.0066
49.5;109967.4;385.59;37.0066
51;111285.7;527.13;37.0066
52.5;113285.7;366.82:37.0066
54;110285.7;421.67;37.0066
55.5;111685.7;615.03;37.0066
57;113285.7;924.58;37.0066
58.5;111985.7;1358.2;37.0033
60;112285.7;468.45;37.0066
61.5;111885.7;5133.4;37.0033
63;115327.3;329.4;37.0033
64.5;114815.6;224.65;37.0033
66;115102.7;271.14;37.0033
67.5;114199.5;295.65;37.0033
69;114354.2;503.58;37.0033
70.5;114738.9;312.91;37.0033
72;113990.9;435.2;37.0033
73.5;114411.1;336.1;37.0033
75;113931.5;264.01;37.0066
76.5;114275.5;460.02;37.0066
78;113443.7;457.77;37.0033
79.5;113923.4;350.81;37.0033
81;113956;414.43;37.0033
82.5;113679.5;353.38;37.0033
84;113984.5;297.11;37.0033
85.5;103251.9;1496.6;37.0033
87;113447.7;2066.7;37.0066
88.5;110767.6;318.5;37.0066
90;110420.2;335.1;37.0066
91.5;110444.8;332.25;37.0033
93;110411.4;327.39;37.0033
94.5;110166.9;308.26;37.0033
96;110443.1;255.34;37.0033
97.5;109736;417.93;37.0033
99;109914.5;370.61;37.0033
100.5;110083.9;368.89;37.0033
102;109928.1;295.65;37.0033
103.5;109343.8;420.71;37.0033
105;109079.2;403.31;37.0033
106.5;108890.1;380.47;37.0033
108;108327.6;356.2;37.0033
109.5;108566.8;382.28;37.0033
111;108552.2;307.4;37.0033
112.5;107984.2;287.58;37.0033
114;108195.5;269.08;37.0033
115.5;108346.9;292;37.0033
117;107663.5;323.91;37.0033
118.5;107671.5;383.13;37.0033
120;108080;286.17;37.0033
